,plan_id,plan_label,distr,vote_circ,vote_sqre,total
0,5171696720,0,1,117,133,250
1,5171696720,0,2,121,129,250
2,5171696720,0,3,141,109,250
3,5171696720,0,4,130,120,250
4,5171696720,0,5,129,121,250
5,5171696720,0,6,120,130,250
6,5045658960,1,1,120,143,263
7,5045658960,1,2,119,126,245
8,5045658960,1,3,126,120,246
9,5045658960,1,4,114,134,248
10,5045658960,1,5,140,112,252
11,5045658960,1,6,139,107,246
12,5171696784,2,1,113,137,250
13,5171696784,2,2,122,132,254
14,5171696784,2,3,135,121,256
15,5171696784,2,4,116,126,242
16,5171696784,2,5,133,117,250
17,5171696784,2,6,139,109,248
18,5171696848,3,1,112,131,243
19,5171696848,3,2,119,126,245
20,5171696848,3,3,138,123,261
21,5171696848,3,4,128,123,251
22,5171696848,3,5,134,112,246
23,5171696848,3,6,127,127,254
24,5171697040,4,1,112,131,243
25,5171697040,4,2,119,126,245
26,5171697040,4,3,138,123,261
27,5171697040,4,4,132,121,253
28,5171697040,4,5,134,112,246
29,5171697040,4,6,123,129,252
30,5171697296,5,1,135,126,261
31,5171697296,5,2,121,123,244
32,5171697296,5,3,116,123,239
33,5171697296,5,4,111,136,247
34,5171697296,5,5,130,122,252
35,5171697296,5,6,145,112,257
36,5171697424,6,1,118,139,257
37,5171697424,6,2,119,126,245
38,5171697424,6,3,136,121,257
39,5171697424,6,4,131,126,257
40,5171697424,6,5,135,109,244
41,5171697424,6,6,119,121,240
42,5171697488,7,1,120,143,263
43,5171697488,7,2,124,118,242
44,5171697488,7,3,136,102,238
45,5171697488,7,4,121,120,241
46,5171697488,7,5,122,131,253
47,5171697488,7,6,135,128,263
48,5171697616,8,1,114,141,255
49,5171697616,8,2,128,118,246
50,5171697616,8,3,136,102,238
51,5171697616,8,4,130,123,253
52,5171697616,8,5,118,131,249
53,5171697616,8,6,132,127,259
54,5171697168,9,1,115,135,250
55,5171697168,9,2,141,118,259
56,5171697168,9,3,137,109,246
57,5171697168,9,4,131,123,254
58,5171697168,9,5,111,133,244
59,5171697168,9,6,123,124,247
60,5171697744,10,1,115,135,250
61,5171697744,10,2,141,118,259
62,5171697744,10,3,137,109,246
63,5171697744,10,4,119,121,240
64,5171697744,10,5,111,133,244
65,5171697744,10,6,135,126,261
66,5171697872,11,1,113,128,241
67,5171697872,11,2,140,115,255
68,5171697872,11,3,136,116,252
69,5171697872,11,4,129,131,260
70,5171697872,11,5,116,134,250
71,5171697872,11,6,124,118,242
72,5171698064,12,1,122,133,255
73,5171698064,12,2,123,117,240
74,5171698064,12,3,138,121,259
75,5171698064,12,4,115,130,245
76,5171698064,12,5,139,121,260
77,5171698064,12,6,121,120,241
78,5171698192,13,1,129,132,261
79,5171698192,13,2,126,128,254
80,5171698192,13,3,135,103,238
81,5171698192,13,4,113,137,250
82,5171698192,13,5,121,121,242
83,5171698192,13,6,134,121,255
84,5171698320,14,1,138,115,253
85,5171698320,14,2,113,126,239
86,5171698320,14,3,134,123,257
87,5171698320,14,4,116,132,248
88,5171698320,14,5,115,135,250
89,5171698320,14,6,142,111,253
90,5171698576,15,1,118,133,251
91,5171698576,15,2,127,116,243
92,5171698576,15,3,128,118,246
93,5171698576,15,4,121,127,248
94,5171698576,15,5,125,136,261
95,5171698576,15,6,139,112,251
96,5171698704,16,1,129,114,243
97,5171698704,16,2,124,115,239
98,5171698704,16,3,123,119,242
99,5171698704,16,4,131,131,262
100,5171698704,16,5,135,121,256
101,5171698704,16,6,116,142,258
102,5171698832,17,1,143,117,260
103,5171698832,17,2,141,108,249
104,5171698832,17,3,116,127,243
105,5171698832,17,4,110,133,243
106,5171698832,17,5,128,118,246
107,5171698832,17,6,120,139,259
108,5171698960,18,1,121,140,261
109,5171698960,18,2,134,122,256
110,5171698960,18,3,119,126,245
111,5171698960,18,4,125,127,252
112,5171698960,18,5,126,113,239
113,5171698960,18,6,133,114,247
114,5171699088,19,1,112,127,239
115,5171699088,19,2,133,120,253
116,5171699088,19,3,119,126,245
117,5171699088,19,4,126,129,255
118,5171699088,19,5,133,123,256
119,5171699088,19,6,135,117,252
120,5171699344,20,1,126,113,239
121,5171699344,20,2,140,115,255
122,5171699344,20,3,116,134,250
123,5171699344,20,4,127,136,263
124,5171699344,20,5,136,116,252
125,5171699344,20,6,113,128,241
126,5171699472,21,1,126,115,241
127,5171699472,21,2,142,103,245
128,5171699472,21,3,111,133,244
129,5171699472,21,4,119,143,262
130,5171699472,21,5,137,121,258
131,5171699472,21,6,123,127,250
132,5171699600,22,1,126,117,243
133,5171699600,22,2,147,115,262
134,5171699600,22,3,130,127,257
135,5171699600,22,4,108,130,238
136,5171699600,22,5,122,125,247
137,5171699600,22,6,125,128,253
138,5174091856,23,1,126,117,243
139,5174091856,23,2,147,115,262
140,5174091856,23,3,130,127,257
141,5174091856,23,4,112,142,254
142,5174091856,23,5,122,125,247
143,5174091856,23,6,121,116,237
144,5174091984,24,1,122,118,240
145,5174091984,24,2,121,133,254
146,5174091984,24,3,146,104,250
147,5174091984,24,4,124,138,262
148,5174091984,24,5,121,123,244
149,5174091984,24,6,124,126,250
150,5174092112,25,1,126,133,259
151,5174092112,25,2,135,108,243
152,5174092112,25,3,124,122,246
153,5174092112,25,4,113,137,250
154,5174092112,25,5,118,131,249
155,5174092112,25,6,142,111,253
156,5174092368,26,1,122,123,245
157,5174092368,26,2,135,108,243
158,5174092368,26,3,128,132,260
159,5174092368,26,4,113,137,250
160,5174092368,26,5,118,131,249
161,5174092368,26,6,142,111,253
162,5174092496,27,1,122,141,263
163,5174092496,27,2,131,116,247
164,5174092496,27,3,127,126,253
165,5174092496,27,4,121,131,252
166,5174092496,27,5,121,123,244
167,5174092496,27,6,136,105,241
168,5174092624,28,1,136,125,261
169,5174092624,28,2,143,106,249
170,5174092624,28,3,123,137,260
171,5174092624,28,4,119,134,253
172,5174092624,28,5,113,126,239
173,5174092624,28,6,124,114,238
174,5174092752,29,1,113,124,237
175,5174092752,29,2,144,113,257
176,5174092752,29,3,130,126,256
177,5174092752,29,4,121,129,250
178,5174092752,29,5,113,126,239
179,5174092752,29,6,137,124,261
180,5174092880,30,1,127,131,258
181,5174092880,30,2,144,110,254
182,5174092880,30,3,125,122,247
183,5174092880,30,4,113,132,245
184,5174092880,30,5,113,126,239
185,5174092880,30,6,136,121,257
186,5174093008,31,1,142,117,259
187,5174093008,31,2,119,132,251
188,5174093008,31,3,130,112,242
189,5174093008,31,4,118,139,257
190,5174093008,31,5,119,126,245
191,5174093008,31,6,130,116,246
192,5174093136,32,1,139,116,255
193,5174093136,32,2,112,127,239
194,5174093136,32,3,137,117,254
195,5174093136,32,4,118,139,257
196,5174093136,32,5,119,126,245
197,5174093136,32,6,133,117,250
198,5174093264,33,1,127,112,239
199,5174093264,33,2,125,130,255
200,5174093264,33,3,139,119,258
201,5174093264,33,4,118,139,257
202,5174093264,33,5,117,127,244
203,5174093264,33,6,132,115,247
204,5174093392,34,1,141,108,249
205,5174093392,34,2,126,132,258
206,5174093392,34,3,108,135,243
207,5174093392,34,4,126,115,241
208,5174093392,34,5,133,128,261
209,5174093392,34,6,124,124,248
210,5174093520,35,1,141,108,249
211,5174093520,35,2,123,123,246
212,5174093520,35,3,111,144,255
213,5174093520,35,4,126,115,241
214,5174093520,35,5,133,128,261
215,5174093520,35,6,124,124,248
216,5174093648,36,1,136,116,252
217,5174093648,36,2,118,133,251
218,5174093648,36,3,117,140,257
219,5174093648,36,4,137,117,254
220,5174093648,36,5,132,117,249
221,5174093648,36,6,118,119,237
222,5174093776,37,1,141,120,261
223,5174093776,37,2,133,114,247
224,5174093776,37,3,106,140,246
225,5174093776,37,4,130,133,263
226,5174093776,37,5,132,108,240
227,5174093776,37,6,116,127,243
228,5174093904,38,1,133,122,255
229,5174093904,38,2,124,125,249
230,5174093904,38,3,110,135,245
231,5174093904,38,4,138,124,262
232,5174093904,38,5,140,110,250
233,5174093904,38,6,113,126,239
234,5174094032,39,1,117,120,237
235,5174094032,39,2,140,118,258
236,5174094032,39,3,122,139,261
237,5174094032,39,4,110,127,237
238,5174094032,39,5,141,110,251
239,5174094032,39,6,128,128,256
240,5174094160,40,1,131,112,243
241,5174094160,40,2,125,133,258
242,5174094160,40,3,115,128,243
243,5174094160,40,4,140,121,261
244,5174094160,40,5,121,120,241
245,5174094160,40,6,126,128,254
